source_row,MD01卖点整理,unnamed_02
2,大卖点,小卖点
3,长续航,"容量:容量44.4Wh,3Ah/14.8V(12000mAh,3.7V)"
4,,使用温度:-5℃-45℃
5,,30C超强电流 锂离子电池组，长效安全
6,,充电产品:5V/2A。手机 平板 USB小风扇 USB灯泡等
7,,充电时间:5-6小时
8,,手机5次
9,,打气：可打满4条轮胎（0-36 PSI）
10,,夜间照明可以持续 30个小时
13,多功能输出,它具有USB 5V/2.1A
14,,8V1气嘴打气端口，19气缸，充电速度快。
16,应急LED灯,照明时间:30个小时
17,,照明范围:3米
18,,照明场景:外出露营 夜晚应急照明
19,,灯光模式: LED灯有3种模式，常亮、闪光和SOS模式可供选择。灯光非常适合户外，夜间，应急情况和路边紧急情况
21,便携,功能:布袋子便携手提
22,,体积89.6*43.6*220.8mm.重量0.77KG
23,,便携场景:可以装进背包里面可以手提，可放在车上应急打气。
25,安全,"智能芯片控制，安全保护系统:短路保护;过电流保护;过压保护;欠压保护;过载保
护;过温保护，防摔0.5米，"
26,,采用最精密的电源芯片
27,,采用严格的BMS电源管理系统设计
28,,紧凑合理的结构设计
29,,采用的电动汽车级别的高倍率动力锂电池
30,,充给本产品电过程中不发热，不过冲
32,充电方式,充电方式:USB-C口 可兼容市场上USB-C的充电器
35,使用场景,外出露营，给充气床充气
36,,汽车应急启动  3.0T 汽车可启动
37,,外出摄影/家庭聚会，给气球等充气，增加气氛
38,,智能应急启动夹子
39,,房车旅行，应急充气
40,,徒步旅行，应急手机充电
41,,汽车应急充气(飓风火灾 洪水)
42,,户外商业，夜市，应急照明
44,外观,材质:坚韧ABS材质防摔放撞击
45,,便携体积89.6*43.6*220.8mm.重量0.77KG
46,,数码显示屏
47,,便携，布袋子上有提手
49,使用,操作使用
50,,支付给手机充电
51,,支持USB-C充电
52,,充电安全 无烟 无声
53,,长按灯光键开关，再按一次切换灯光模式(常亮 SOS 爆闪/警示灯)
