source_row,客户信息：深圳市xxx有限公司,unnamed_02,unnamed_03,unnamed_04,unnamed_05,unnamed_06,unnamed_07
2,参考链接,https://www.amazon.com/Fanttik-Inflator-Compressor-Inflation-Motorcycles-Yellow/dp/B09YD2D96V/ref=zg_bs_g_155346011_d_sccl_31/130-5024484-9263764?psc=1,"色彩偏好：
徕卡系
主色调：
(参考：参考链接）","字体要求：
(符合越野旅行的动感动态字体）","画面展示：
写实风
产品展示为主，
卖点数值为中，
使用场景图为辅
实拍+合成",画面需求：真实感实拍+合成,
3,主图页面,,,,,,
4,张序,1: 尺寸2400*3000,2: 尺寸2400*3000,3: 尺寸2400*3000,4: 尺寸2400*3000,5: 尺寸2400*3000,
5,参考图,"'=DISPIMG(""ID_C8FD97575A0E429AB3C99B104C7C3529"",1)","'=DISPIMG(""ID_79F5C25D5A8E416386F84C2C9F4F0332"",1)",,"'=DISPIMG(""ID_C65B42CEC1A44322886F58C96F95BDA4"",1)","'=DISPIMG(""ID_13982D55A8C04B7F867B81854E46A1E1"",1)",
6,展示卖点,外观+配件,"启动快:10S启动
电流大:4000A
电容大:44.4Wh","电压大 12V
启动大排量汽车：MAX 4.5L  GAS
启动大排量柴油车：MAX 3.0L DIESEL","充气快
10s
17500转/分钟 19L/分钟
气压大：MAX 150PSI","气压大：MAX 150PSI
充气多：33-36PSI 30次",
7,图片要求,"产品+架子+配件+收纳盒错落排放，突出产品。
产品亮灯，","近景产品正在给汽车垫片充电，
低俯视接近平行视角。
背景远景车主在太阳底下热得擦汗，
车主旁边还抱着一个小婴儿","傍晚，小森林中
启动电源夸张放大的放在老皮卡旁边充电启动
【夸张手法】","前景打气泵再给轮胎充着气
后景在家遍布草坪的院子里，
一家人出门拉着行李出门旅游。","充气泵跟各种各样的汽车越野车摩托车摆放再一起。
下面加入各种标志：1.汽车 2.摩托 3.单车 4.球类
标志下加充气次数。",
8,要求备注,"参考图只是我能找到的参考上限，
请按照自己的设计理念加深优化排版","参考图只是我能找到的参考上限，
请按照自己的设计理念加深优化排版","参考图只是我能找到的参考上限，
请按照自己的设计理念加深优化排版","参考图只是我能找到的参考上限，
请按照自己的设计理念加深优化排版","参考图只是我能找到的参考上限，
请按照自己的设计理念加深优化排版",
9,放置文案,,"主标题：10S Quick Start

副标题：Refuse prolonged heat

卖点参数文案：
1：4000A CURRENT
2：44.4Wh  CAPACITY
3：10S STARTS","主标题：Strong voltage output
副标题：Easy start large vehicles
卖点参数文案：
1：12V VOLTAGE
2：MAX 4.5L GAS
3：MAX 3.0L DIESEL","主标题：FAST SET OUT
副标题：Not wasting travel time
卖点参数文案：
1：≤10 sec
   34-36PS
2：17500 rpm/min
3：19L/min","主标题：High Capacity Supercharged
副标题：
卖点参数文案：
1:Tires 20[33-36 PsI]
2:Tires 30[55-60 PsI]
3:Tires 50[33-36 PsI]
4:Tires 100[5-8 PsI]",
11,张序,6: 尺寸2400*3000,7: 尺寸2400*3000,8: 尺寸2400*3000,9: 尺寸2400*3000,10: 尺寸2400*3000,
12,参考图,"'=DISPIMG(""ID_8A7BAA04272042BF9293E2A8EEE814FE"",1)",,,,,
13,展示卖点,"不损坏汽车电瓶
待机久：25个月
质量好：耐用10年寿命长 质量可靠
电池循环次数多：3000次
锂离子电芯",,,,,
14,图片要求,"爆炸图
夹子夹在电瓶上，电瓶做一个蓝色保护光效，
产品做爆炸图，
只突出芯片和电池。",,,,,
15,要求备注,"参考图只是我能找到的参考上限，
请按照自己的设计理念加深优化排版",,,,,
16,放置文案,"主标题：不伤电瓶
副标题：稳定电流输出
卖点参数文案：
1： ≥25 months  Standby
2：≥10 yearsLife Expectancy
3:≥3000 times Battery Cycle","主标题：
副标题：
卖点参数文案：","主标题：
副标题：
卖点参数文案：","主标题：
副标题：
卖点参数文案：","主标题：
副标题：
卖点参数文案：",
18,A+页面,,,,,,"参考图只是我能找到的参考上限，
请按照自己的设计理念加深优化排版"
19,张序1,尺寸：2928*1200一张 1200*900一张,,,,,
20,参考图,,,,,,"'=DISPIMG(""ID_CB9797DFD5674035B1C8ACABB3E100CF"",1)"
21,展示卖点,"电容大 启动快 电压大
充气快 气压大
充气多 质量好·",,,,,
22,图片要求,产品占比画幅大，旁边一个大车，品牌视觉排版，其他小卖点加上小标签和文案，,,,,,
23,要求备注,,,,,,
24,放置文案,"主标题：2IN1JUMP STARTERWith AIR COMPRESSOR
副标题：Let you travel freely
卖点参数文案：
1.Large capacitance
2.Start fast
3.High voltage
4.Fast inflation
5.High pressure
6.more Inflation
7.Good quality",,,,,
26,张序2,尺寸：2928*1200一张 1200*900一张,,,,,
27,参考图,"'=DISPIMG(""ID_FDEBB370DE764E2DA3C8A2FE70A3B066"",1)",,,,,
28,展示卖点,"启动设备种类多：除草机 摩托 小轿车 SUV 皮卡
启动多规格容量设备：1L-4L
启动设备次数多：50次
电压大 12V",,,,,
29,图片要求,"启动电源占大画幅，正在给电瓶充电，下面并排着能充电的车辆类型，
除草机 摩托 小轿车 SUV 皮卡 （写实，不要线性图）",,,,,
30,要求备注,,,,,,
31,放置文案,"主标题：START ALL 12V VEHICLES
副标题：ALL 1-4L Vehicle Capacity VEHICLES
卖点参数文案：",,,,,
32,张序3,尺寸：2928*1200一张 1200*900一张,,,,,
33,参考图,"'=DISPIMG(""ID_A24EE1A1D87040D4B244BAD8E03A9D7C"",1)",,,,,
34,展示卖点,"适合多产品充气 ：汽车 SUV 皮卡 摩托车 单车 球类 泳圈 气球
气嘴多：5个气嘴 汽车 摩托 单车 球类 气球 游泳圈·",,,,,
35,图片要求,,,,,,
36,要求备注,"主标题：START ALL 12V VEHICLES
副标题：ALL 1-4L Vehicle Capacity VEHICLES
卖点参数文案：",,,,,
37,放置文案,,,,,,
39,张序3,尺寸：2928*1200一张 1200*900一张,,,,,
40,参考图,"'=DISPIMG(""ID_6D169FD2BAF943289DBAF64A51B8D525"",1)",,,,,
41,展示卖点,"双拼图
操作便捷 启动
操作便捷 充气",,,,,
42,图片要求,,,,,,
43,要求备注,,,,,,
44,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
46,张序4,尺寸：2928*1200一张 1200*900一张,,,,,
47,参考图,"'=DISPIMG(""ID_F1094FFD8762456190A3F93C772438CC"",1)",,,,,
48,展示卖点,"无电源线
充满自停
5个模式 汽车 摩托车
单车 球类 手动
气压阈值区间大：3-150PSI
气压单位多：4个单位 PSI BAR KPA Kg/cm²",,,,,
49,图片要求,,,,,,
50,要求备注,,,,,,
51,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
53,张序5,尺寸：2928*1200一张 1200*900一张,,,,,
54,参考图,"'=DISPIMG(""ID_E3FD97AB38674069837DFA1A88F102E0"",1)",,,,,
55,展示卖点,"安全性高-产品本身：智能芯片
a.短路保护 b.过流保护 c.过压保护
d.欠压保护 e.过载保护 f.过温保护
安全性高-夹子配件：智能夹子
IP63 无火花 夹反不短路 互夹不短路",,,,,
56,图片要求,"启动电源在冲着电瓶
电瓶和架子靠近，然后它们身上升起两个芯片特效。
电瓶上罩着一个蓝色保护光效",,,,,
57,要求备注,,,,,,
58,放置文案,"主标题：双智能芯片
副标题：比别人更爱护你的电瓶
卖点参数文案：
a. Short circuit protection b. Overcurrent protection c. Overvoltage protection
d. Under voltage protection e. Overload protection f. Over temperature protection
IP63
No spark",,,,,
60,张序6,尺寸：2928*1200一张 1200*900一张,,,,,
61,参考图,"'=DISPIMG(""ID_C3716040DD404C958E654D7453E5ED83"",1)",,,,,
62,展示卖点,"适用温度区间大：   -10℃-40℃/14℉-104℉
冬天不亏电
安全隐患-夏天车里不自燃
散热好
使用不发热",,,,,
63,图片要求,"产品居中放大展示产品，
产品背景是户外雪山和沙漠的拼接
产品放大站在合成的山巅，表示征服了世界",,,,,
64,要求备注,,,,,,
65,放置文案,"主标题：陪你征服世界
副标题：
卖点参数文案：",,,,,
67,张序7,尺寸：2928*1200一张 1200*900一张,,,,,
68,参考图,"'=DISPIMG(""ID_14726D99A3B74BDB84DCE24C62D329BD"",1)",,,,,
69,展示卖点,售后好 ：10年包退 7*24小时售后,,,,,
70,图片要求,,,,,,
71,要求备注,,,,,,
72,放置文案,"主标题：Quality assurance
副标题：Worry free after-sales service
卖点参数文案：
1: 10 year warranty
2:7*24 hour reception",,,,,
74,张序8,尺寸：2928*1200一张 1200*900一张,,,,,
75,参考图,"'=DISPIMG(""ID_A8DA2D8ABC1D46E1BA4CD69E27B41A4A"",1)",,,,,
76,展示卖点,"便携
尺寸重量",,,,,
77,图片要求,"双拼图，
右图：一只手拿着，显示大小
左图：放在扶手箱前的水杯孔里。",,,,,
78,要求备注,,,,,,
79,放置文案,"主标题：
副标题：
卖点参数文案：
35.27*17.16*86.92 inch
169.75 pound",,,,,
81,张序9,尺寸：2928*1200一张 1200*900一张,,,,,
82,参考图,"'=DISPIMG(""ID_F5D5308E43DC421789AE89853002AEB8"",1)",,,,,
83,展示卖点,"气压检测
气压检测---准确-实时：准确无误
气压检测---一插即测：即插即用，不需要启动电源
LED大屏 阳光下可见",,,,,
84,图片要求,,,,,,
85,要求备注,,,,,,
86,放置文案,"主标题：Accurate pressure detection
副标题：Instant pressure display upon insertion
卖点参数文案：LED large screen visible the day",,,,,
88,张序10,尺寸：2928*1200一张 1200*900一张,,,,,
89,参考图,"'=DISPIMG(""ID_83E70321A0A1429AB2BBCD97499B6714"",1)",,,,,
90,展示卖点,"LED灯
做充电宝
LED大屏
可自充电
防摔",,,,,
91,图片要求,"拼图
少文案
突出占比大大小重要性排版：
1：LED大屏-特写
2：做充电宝-特写只给手机充电
3：LED灯-特写灯头
4：可自己充电 -墙充USB充电线在充电
5：防摔 -摔到地面，沙砾飞溅",,,,,
92,要求备注,,,,,,
93,放置文案,"主标题：更多功能
副标题：
卖点参数文案：
LED灯：30个小时
做充电宝：12000mAh power bank
LED大屏:large LED screen
可自充电:self-charging
防摔:Fall prevention",,,,,
95,张序12,尺寸：2928*1200一张 1200*900一张,,,,,
96,参考图,"'=DISPIMG(""ID_F44818D3DFB74865A5712CA2A66FE2A9"",1)",,,,,
97,展示卖点,"做充电宝-充电快：5V/2.1A Max
做充电宝-充电次数多：DC5V/2A （TYPE-C）) 12000mAh/
手机5次 平板3次 相机2次 笔记本1次
做充电宝-多充电口【出】：1个 USB-A
做充电宝-多充电口【入】：1个 TYPE-C
做充电宝-适用多种设备：数码产品 手机 平板 笔记本 相机 无人机 小风扇 USB灯泡
可自充电-充的快：DC5V/2A （TYPE-C）)/DC:~6h",,,,,
98,图片要求,"单产品充手机特写
其他适用产品用线型图表示
小卖点用文案表达",,,,,
99,要求备注,,,,,,
100,放置文案,"主标题：Fast charging
副标题：
卖点参数文案：5V/2.1A Max
12000mAh
USB-A*1
TYPE-C*1
手机5次 *5
平板3次 *3
相机2次 *2
笔记本1次 *1",,,,,
102,张序13,尺寸：2928*1200一张 1200*900一张,,,,,
103,参考图,"'=DISPIMG(""ID_510799AAEDEC47C396EA5282FEADA10F"",1)",,,,,
104,展示卖点,"LED灯-多种照明方式 ：3种 常亮 爆闪 SOS
LED灯-亮度大 流明高 ：300 LUMEN
LED灯-照明时间久 ：30个小时
LED灯-冷光不发热 ：不易烫坏身边的塑料产品
LED灯-照明功率大 ：0.5W 照明范围3-5米
LED灯-多使用场景：外出露营 夜晚应急照明 汽车维修等",,,,,
105,图片要求,"外出露营
产品在前面亮光
小卖点用线型图表示",,,,,
106,要求备注,,,,,,
107,放置文案,"主标题：High brightness LED light
副标题：
卖点参数文案：
Lighting
Strobe
SOS",,,,,
109,张序14,尺寸：2928*1200一张 1200*900一张,,,,,
110,参考图,"'=DISPIMG(""ID_6A1CA5553C03474A8BDDF996A252547F"",1)",,,,,
111,展示卖点,"配件多 全家福：
TYPE-c 充电线*1;充气管 *1;充电夹*1
气嘴*5;擦布*1;收纳盒*1;说明书*1",,,,,
112,图片要求,,,,,,
113,要求备注,,,,,,
114,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
116,张序15,尺寸：2928*1200一张 1200*900一张,,,,,
117,参考图,外壳材质：ABS材质 磨砂手感 舒适防滑,,,,,
118,展示卖点,,,,,,
119,图片要求,产品特写,,,,,
120,要求备注,,,,,,
121,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
123,张序16,尺寸：2928*1200一张 1200*900一张,,,,,
124,参考图,,,,,,
125,展示卖点,收纳盒：收纳方便 保护产品 配件分类收纳,,,,,
126,图片要求,收纳盒展开，特写内部产品摆放和零配件摆放,,,,,
127,要求备注,,,,,,
128,放置文案,"主标题：Multi layer storage box
副标题：Portable organization of various accessories
卖点参数文案：",,,,,
130,张序17,尺寸：2928*1200一张 1200*900一张,,,,,
131,参考图,·,,,,,
132,展示卖点,,,,,,
133,图片要求,,,,,,
134,要求备注,,,,,,
135,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
137,张序18,尺寸：2928*1200一张 1200*900一张,,,,,
138,参考图,·,,,,,
139,展示卖点,,,,,,
140,图片要求,,,,,,
141,要求备注,,,,,,
142,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
144,张序19,尺寸：2928*1200一张 1200*900一张,,,,,
145,参考图,·,,,,,
146,展示卖点,,,,,,
147,图片要求,,,,,,
148,要求备注,,,,,,
149,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
151,张序20,尺寸：2928*1200一张 1200*900一张,,,,,
152,参考图,·,,,,,
153,展示卖点,,,,,,
154,图片要求,,,,,,
155,要求备注,,,,,,
156,放置文案,"主标题：
副标题：
卖点参数文案：",,,,,
